Titles,Companies,Employment Modes,Currencies,Salaries,Closing Dates
兒童普通話故事課程導師,iSpeech Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-06
兒童故事課程導師,iSpeech Limited,"Part Time, Internship",HKD ($),Negotiable,2024-09-06
Teaching Position (STEM Education) for Academic Year 2024-2025 (Part-time: hourly-based),Edvenue Limited,"Part Time, Temporary",HKD ($),155 - 230 per hour,2024-08-31
Application Engineer (Equipment),Teltec Semiconductor Pacific Ltd,"Full Time, Graduate",HKD ($),15K - 30K per month,2024-09-19
Service Engineer (Equipment),Teltec Semiconductor Pacific Ltd,"Full Time, Graduate",HKD ($),15K - 30K per month,2024-09-19
行政助理 (AA) (合約) (編號 :EOL/88024),St. James' Settlement,"Full Time, Graduate",HKD ($),Negotiable,2024-08-30
Accounts Clerk,K. Wah Construction Materials (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-15
Administration Assistant,K. Wah Construction Materials (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-15
Assistant Quantity Surveyor,K. Wah Construction Materials (Hong Kong) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
Intern - Low Code Development,Lidl & Kaufland Asia Pte. Limited,"Full Time, Internship",HKD ($),Negotiable,2024-09-19
"Teaching Assistant (Citizenship, Economics and Society / Citizenship and Social Development)",Good Hope School,"Full Time, Graduate",HKD ($),17K - 17.5K per month,2024-09-04
Part Time Digital Ad Assistant,Hong Kong Technology Venture Company Limited,"Part Time, Temporary",HKD ($),60 - 80 per hour,2024-09-19
Merchandiser / Assistant Merchandiser (Garment),Excellent Jade Limited,"Full Time, Graduate",HKD ($),16K - 21K per month,2024-08-31
STEM / AI Instructor - Freelance,Una Technologies Limited,"Part Time, Temporary",HKD ($),180 - 230 per hour,2024-09-19
Investment Analyst (Crypto),Spartan Capital (HK) Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
Accenture Song - Digital Marketing PMO Analyst,Accenture Company Limited,"Full Time, Graduate",HKD ($),Negotiable,2024-09-19
"(Campus recruiting-1 year contract)Officer, Investment Customer Services(type 1)",ZhongAn Technologies International Group Limited,"Full Time, Graduate",HKD ($),18K - 22K per month,2024-09-19
Recruitment Consultant,Recruit Express (Hong Kong) Limited,"Full Time, Graduate",HKD ($),17K - 20K per month,2024-09-08
Personal Tutor,Sylvia Education Limited,"Part Time, Temporary",HKD ($),5K - 8K per month,2024-09-19
