Titles,Companies,Currencies,Salaries,Closing Dates
Assistant (Business Development),Midland Realty (Strategic) Limited,HKD ($),15K - 16K per month,2024-09-17
Business Analyst / Data Analyst,Fides Solutions Limited,HKD ($),18K - 19K per month,2024-09-17
Business Analyst - Graduate Program (Various Opportunities),Fides Solutions Limited,HKD ($),20K - 23K per month,2024-09-17
Engineer,Shinryo (Hong Kong) Limited,HKD ($),Negotiable,2024-09-17
"小學導師 (5.5天) (屯門友愛)/ Primary school tutor (5.5 Days) (Yau Oi, Tuen Mun)",Bright Union International Limited,HKD ($),17K per month,2024-09-03
Field Service Engineer,Vastec Medical Limted,HKD ($),Negotiable,2024-09-17
Program Officer,Acme Pro Limited,HKD ($),Negotiable,2024-09-17
Business Trainee,i-Control Limited,HKD ($),Negotiable,2024-09-13
Assistant Engineer (Electrical),SHUN HING SYSTEMS INTEGRATION COMPANY LIMITED,HKD ($),18K - 20K per month,2024-09-17
Assistant Human Resources Officer,SHUN HING SYSTEMS INTEGRATION COMPANY LIMITED,HKD ($),17K - 19K per month,2024-09-17
Assistant Digital Engineer - Smart Construction,SOCAM Development Limited,HKD ($),Negotiable,2024-08-31
Assistant Engineer (Telecom),SHUN HING SYSTEMS INTEGRATION COMPANY LIMITED,HKD ($),18K - 20K per month,2024-09-17
Assistant Engineer (Mechanical),SHUN HING SYSTEMS INTEGRATION COMPANY LIMITED,HKD ($),18K - 20K per month,2024-09-17
Placement Trainee (Infrastructure Financing and Securitisation),The Hong Kong Mortgage Corporation Limited,HKD ($),Negotiable,2024-09-01
"Full time Chinese tutor(廣東話母語, 年齡18-30)(需要DSE中文5或以上或同等資歷)",Star Ace Education,HKD ($),30K - 80K per month,2024-09-10
Graduate Engineer,APT Engineering Consultant Limited,HKD ($),24K per month,2024-09-14
Assistant Officer (Property Administration),Midland Realty (Strategic) Limited,HKD ($),16K - 18K per month,2024-09-16
Secondary School Social Worker,The Boys' & Girls' Clubs Association of Hong Kong(HQ),HKD ($),Negotiable,2024-08-25
Sales Manager,Wanfang Data Corporation (International) Limited,HKD ($),17K - 19K per month,2024-09-15
BIM Trainee,Takasago Thermal Engineering (Hong Kong) Company Limited,HKD ($),15K - 16K per month,2024-09-15
中小學導師 (6天) (屯門市中心)/Secondary School and Primary School Tutor(6 days) (Tuen Mun Town Centre)),Bright Union International Limited,HKD ($),17K - 18K per month,2024-08-31
Counter Service Officer Trainee / Teller Trainee,Chong Hing Bank Limited,HKD ($),17K per month,2024-09-10
Administrative Assistant,Grace Christian Academy,HKD ($),14K - 18K per month,2024-09-15
"小學導師 (6日) (沙田馬鞍山)/Primary School Tutor (6 DAYS) (Ma On Shan, Shatin)",Bright Union International Limited,HKD ($),17.5K per month,2024-08-31
"小學導師 (6日) (沙田禾輋)/Primary School Tutor (6 DAYS) (Wo Che, Shatin)",Bright Union International Limited,HKD ($),18K per month,2024-08-31
"小學導師(5/6天) (觀塘安達)/ Primary School Tutor (5/6 DAYS) (On Tat Estate, Kwun Tong)",Bright Union International Limited,HKD ($),21K per month,2024-08-31
"中小學導師 (5/6天) (葵涌石蔭)/Secondary School and Primary School Tutor (5/6days) (Shek Yam, Kwai Chung)",Bright Union International Limited,HKD ($),18.5K per month,2024-08-31
中小學導師 (5-6天) (天水圍)/Secondary School and Primary School Tutor (5-6 days) (Tin Shui Wai),Bright Union International Limited,HKD ($),17K - 18K per month,2024-08-31
