Titles,Companies,Currencies,Salaries,Closing Dates
Part Time Tutor (Primary English),Arsenal Training Consultancy,HKD ($),200 per hour,2024-09-18
Part Time Tutor (Secondary Chinese),Arsenal Training Consultancy,HKD ($),140 per hour,2024-09-18
Part Time Tutor (Secondary Chemistry and Junior Secondary Integrated Science and Maths),Arsenal Training Consultancy,HKD ($),140 per hour,2024-09-18
Part Time Tutor (Secondary Physics and Junior Secondary Integrated Science and Maths),Arsenal Training Consultancy,HKD ($),140 per hour,2024-09-18
Part Time Tutor (Secondary Biology & Junior Secondary Maths and Integrated Science),Arsenal Training Consultancy,HKD ($),140 per hour,2024-09-18
Part Time Tutor (Secondary BAFS & Maths),Arsenal Training Consultancy,HKD ($),140 per hour,2024-09-18
Primary Tutor (Part-time),Arsenal Training Consultancy,HKD ($),90 - 100 per hour,2024-09-18
SCRATCH & PYTHON COMPUTER PROGRAMMING TUTOR,Arsenal Training Consultancy,HKD ($),200 per hour,2024-09-18
"Intern, Climate Consulting (till Year-end 2024)",AXA China Region Insurance Company Limited,HKD ($),80 per hour,2024-09-18
Education Executive Officer (Graduate Job),"e-Learning Development Laboratory, The University of Hong Kong",HKD ($),16K - 20K per month,2024-09-18
兼職專科班導師 (何文田 半山壹號),MODERN BACHELOR EDUCATION CENTRE (CELESTIAL HEIGHTS),HKD ($),120 - 200 per hour,2024-09-18
兼職功課輔導班導師 (何文田 半山壹號),MODERN BACHELOR EDUCATION CENTRE (CELESTIAL HEIGHTS),HKD ($),80 - 150 per hour,2024-09-18
IT and Science Education Project Officer,"e-Learning Development Laboratory, The University of Hong Kong",HKD ($),16K - 20K per month,2024-09-18
Internship Programme 2024 – Countryside Conservation and Environmental Education,Association for Sha Tau Kok Culture and Ecology Limited,HKD ($),Negotiable,2024-09-18
Officer (Treasury & Accounting Operations),Vanke Holdings (Hong Kong) Company Limited,HKD ($),25K - 30K per month,2024-09-14
Analyst Programmer,Vanke Holdings (Hong Kong) Company Limited,HKD ($),25K - 30K per month,2024-09-12
Part-time Digital Marketing Intern/Assistant,Synergy International Group Limited,HKD ($),55 - 60 per hour,2024-09-17
[在家工作] 線上教育兼職導師 Part-time Teacher - online teaching,Dr. Kids Education Group Limited,HKD ($),60 - 120 per hour,2024-09-17
Recruitment Intern / Trainee,Recruit Express (Hong Kong) Limited,HKD ($),55 - 60 per hour,2024-09-08
Junior Quantitative Analyst(Ref: AQ-152-U),BOCI-Prudential Asset Management Limited,HKD ($),Negotiable,2024-09-17
Assistant Officer (Fresh graduates are welcome),Chevalier (Corporate Management) Limited,HKD ($),Negotiable,2024-08-26
全職數學教師（母語廣東話）,Star Ace Education,HKD ($),Negotiable,2024-09-11
Graduate Trainee - System Consultant,Global Sharp International Limited,HKD ($),25K - 27K per month,2024-09-02
"Analyst, Corporate Finance (6-month renewable contract)",Asian Capital Limited,HKD ($),Negotiable,2024-09-06
AI Digital Human Developer,Digital Human International (A.I.) Company LImited,HKD ($),18K - 20K per month,2024-09-15
Placement Trainee (Infrastructure Financing and Securitisation),The Hong Kong Mortgage Corporation Limited,HKD ($),Negotiable,2024-09-01
